(Method , Model) : (HOG , KNN)
Method spend 9.05 sec.
Model spend 2.91 sec.
Accuracy = 0.0853
F1 score = 0.07860377231348617
Classification Report:               precision    recall  f1-score   support

           0       0.11      0.28      0.16       100
           1       0.01      0.02      0.01       100
           2       0.06      0.28      0.10       100
           3       0.03      0.08      0.04       100
           4       0.04      0.22      0.07       100
           5       0.06      0.46      0.10       100
           6       0.02      0.10      0.03       100
           7       0.04      0.04      0.04       100
           8       0.18      0.19      0.19       100
           9       0.10      0.10      0.10       100
          10       0.02      0.05      0.03       100
          11       0.08      0.05      0.06       100
          12       0.06      0.09      0.07       100
          13       0.02      0.05      0.03       100
          14       0.19      0.37      0.26       100
          15       0.03      0.09      0.05       100
          16       0.19      0.36      0.25       100
          17       0.03      0.05      0.04       100
          18       0.04      0.13      0.06       100
          19       0.19      0.29      0.23       100
          20       0.05      0.06      0.05       100
          21       0.08      0.37      0.13       100
          22       0.03      0.02      0.02       100
          23       0.18      0.22      0.20       100
          24       0.11      0.07      0.08       100
          25       0.08      0.07      0.08       100
          26       0.06      0.08      0.07       100
          27       0.12      0.07      0.09       100
          28       0.08      0.08      0.08       100
          29       0.26      0.10      0.14       100
          30       0.04      0.15      0.06       100
          31       0.10      0.05      0.07       100
          32       0.00      0.00      0.00       100
          33       0.12      0.39      0.18       100
          34       0.15      0.07      0.09       100
          35       0.07      0.05      0.06       100
          36       0.04      0.09      0.05       100
          37       0.01      0.01      0.01       100
          38       0.21      0.11      0.14       100
          39       0.15      0.06      0.09       100
          40       0.09      0.06      0.07       100
          41       0.06      0.02      0.03       100
          42       0.00      0.00      0.00       100
          43       0.00      0.00      0.00       100
          44       0.09      0.02      0.03       100
          45       0.11      0.02      0.03       100
          46       0.07      0.03      0.04       100
          47       0.28      0.26      0.27       100
          48       0.13      0.12      0.13       100
          49       0.17      0.02      0.04       100
          50       0.08      0.02      0.03       100
          51       0.07      0.01      0.02       100
          52       0.38      0.05      0.09       100
          53       0.17      0.02      0.04       100
          54       0.11      0.03      0.05       100
          55       0.12      0.06      0.08       100
          56       0.50      0.08      0.14       100
          57       0.21      0.21      0.21       100
          58       0.00      0.00      0.00       100
          59       0.10      0.02      0.03       100
          60       0.30      0.08      0.13       100
          61       0.05      0.01      0.02       100
          62       0.11      0.08      0.09       100
          63       0.07      0.01      0.02       100
          64       0.10      0.07      0.08       100
          65       0.06      0.03      0.04       100
          66       0.00      0.00      0.00       100
          67       0.22      0.11      0.15       100
          68       0.23      0.03      0.05       100
          69       0.33      0.03      0.06       100
          70       0.05      0.02      0.03       100
          71       0.00      0.00      0.00       100
          72       0.56      0.35      0.43       100
          73       0.07      0.02      0.03       100
          74       0.21      0.06      0.09       100
          75       0.19      0.06      0.09       100
          76       0.28      0.08      0.12       100
          77       0.44      0.12      0.19       100
          78       0.09      0.06      0.07       100
          79       0.36      0.04      0.07       100
          80       0.09      0.04      0.06       100
          81       0.00      0.00      0.00       100
          82       0.13      0.03      0.05       100
          83       0.25      0.02      0.04       100
          84       0.14      0.10      0.12       100
          85       0.50      0.01      0.02       100
          86       0.24      0.05      0.08       100
          87       0.24      0.08      0.12       100
          88       0.32      0.12      0.17       100
          89       0.00      0.00      0.00       100
          90       0.00      0.00      0.00       100
          91       0.18      0.02      0.04       100
          92       0.06      0.05      0.05       100
          93       0.13      0.05      0.07       100
          94       0.50      0.06      0.11       100
          95       0.07      0.01      0.02       100
          96       0.12      0.01      0.02       100
          97       0.25      0.02      0.04       100
          98       0.18      0.11      0.14       100
          99       0.29      0.02      0.04       100

    accuracy                           0.09     10000
   macro avg       0.14      0.09      0.08     10000
weighted avg       0.14      0.09      0.08     10000


(Method , Model) : (HOG , SVM)
Method spend 9.05 sec.
Model spend 461.34 sec.
Accuracy = 0.1308
F1 score = 0.11981706630826443
Classification Report:               precision    recall  f1-score   support

           0       0.21      0.29      0.24       100
           1       0.00      0.00      0.00       100
           2       0.14      0.13      0.13       100
           3       0.04      0.03      0.03       100
           4       0.13      0.24      0.17       100
           5       0.15      0.33      0.21       100
           6       0.08      0.04      0.05       100
           7       0.12      0.11      0.11       100
           8       0.21      0.28      0.24       100
           9       0.14      0.15      0.14       100
          10       0.09      0.11      0.10       100
          11       0.12      0.21      0.15       100
          12       0.09      0.13      0.11       100
          13       0.00      0.00      0.00       100
          14       0.26      0.35      0.30       100
          15       0.10      0.11      0.11       100
          16       0.22      0.38      0.28       100
          17       0.06      0.07      0.06       100
          18       0.05      0.06      0.05       100
          19       0.22      0.33      0.26       100
          20       0.08      0.07      0.08       100
          21       0.21      0.36      0.27       100
          22       0.10      0.12      0.11       100
          23       0.18      0.27      0.21       100
          24       0.09      0.04      0.06       100
          25       0.10      0.09      0.10       100
          26       0.09      0.14      0.11       100
          27       0.18      0.09      0.12       100
          28       0.03      0.03      0.03       100
          29       0.13      0.11      0.12       100
          30       0.12      0.17      0.14       100
          31       0.12      0.20      0.15       100
          32       0.04      0.03      0.03       100
          33       0.26      0.36      0.30       100
          34       0.17      0.08      0.11       100
          35       0.07      0.04      0.05       100
          36       0.13      0.28      0.17       100
          37       0.09      0.11      0.10       100
          38       0.10      0.09      0.10       100
          39       0.18      0.19      0.18       100
          40       0.08      0.16      0.11       100
          41       0.08      0.09      0.08       100
          42       0.06      0.05      0.05       100
          43       0.09      0.12      0.10       100
          44       0.03      0.03      0.03       100
          45       0.15      0.09      0.11       100
          46       0.12      0.16      0.14       100
          47       0.22      0.41      0.28       100
          48       0.10      0.20      0.13       100
          49       0.07      0.07      0.07       100
          50       0.11      0.05      0.07       100
          51       0.13      0.09      0.11       100
          52       0.22      0.28      0.24       100
          53       0.12      0.12      0.12       100
          54       0.11      0.07      0.09       100
          55       0.06      0.03      0.04       100
          56       0.19      0.10      0.13       100
          57       0.19      0.28      0.23       100
          58       0.06      0.04      0.05       100
          59       0.09      0.11      0.10       100
          60       0.14      0.08      0.10       100
          61       0.05      0.05      0.05       100
          62       0.18      0.26      0.21       100
          63       0.13      0.05      0.07       100
          64       0.07      0.05      0.06       100
